doc,sentence,word,pos,prev,next,tag
,,bulan,NOUN,masih,Juli,O
,,Juli,PROPN,bulan,2012,O
,,2012,NUM,Juli,bertempat,O
,,bertempat,VERB,2012,di,O
,,di,ADP,bertempat,Jl,O
,,Jl,PROPN,di,.,O
,,.,PUNCT,Jl,KS,O
,,KS,PROPN,.,.,O
,,.,PUNCT,KS,Tubun,O
,,Tubun,PROPN,.,No,O
,,No,PROPN,Tubun,.,O
,,.,PUNCT,No,34,O
,,34,NUM,.,Kel,O
,,Kel,PROPN,34,.,O
,,.,PUNCT,Kel,Kota,O
,,Kota,PROPN,.,Bambu,O
,,Bambu,PROPN,Kota,Selatan,O
,,Selatan,PROPN,Bambu,Kec,O
,,Kec,PROPN,Selatan,.,O
,,.,PUNCT,Kec,Palmerah,O
,,Palmerah,PROPN,.,Jakarta,O
,,Jakarta,PROPN,Palmerah,Barat,O
,,Barat,PROPN,Jakarta,",",O
,,",",PUNCT,Barat,tepatnya,O
,,tepatnya,ADV,",",didepan,O
,,didepan,ADV,tepatnya,Klinik,O
,,Klinik,PROPN,didepan,Citra,O
,,Citra,PROPN,Klinik,",",O
,,",",PUNCT,Citra,atau,O
,,atau,CCONJ,",",setidak,O
,,setidak,ADV,atau,-,O
,,-,PUNCT,setidak,tidaknya,O
,,tidaknya,ADV,-,pada,O
,,pada,ADP,tidaknya,suatu,O
,,suatu,DET,pada,tempat,O
,,tempat,NOUN,suatu,tertentu,O
,,tertentu,DET,tempat,yang,O
,,yang,PRON,tertentu,masih,O
,,masih,ADV,yang,termasuk,O
,,termasuk,ADV,masih,dalam,O
,,dalam,ADP,termasuk,daerah,O
,,daerah,NOUN,dalam,Hukum,O
,,Hukum,PROPN,daerah,Pengadilan,O
,,Pengadilan,PROPN,Hukum,Negeri,O
,,Negeri,PROPN,Pengadilan,Jakarta,O
,,Jakarta,PROPN,Negeri,Barat,O
,,Barat,PROPN,Jakarta,yang,O
,,yang,PRON,Barat,berwenang,O
,,berwenang,NOUN,yang,memeriksa,O
,,memeriksa,VERB,berwenang,dan,O
,,dan,CCONJ,memeriksa,mengadili,O
,,mengadili,VERB,dan,perkara,O
,,perkara,NOUN,mengadili,ini,O
,,ini,DET,perkara,",",O
,,",",PUNCT,ini,tanpa,O
,,tanpa,ADV,",",hak,O
,,hak,NOUN,tanpa,atau,O
,,atau,CCONJ,hak,melawan,O
,,melawan,ADV,atau,hukum,O
,,hukum,NOUN,melawan,menawarkan,O
,,menawarkan,VERB,hukum,untuk,O
,,untuk,SCONJ,menawarkan,dijual,O
,,dijual,VERB,untuk,",",O
,,",",PUNCT,dijual,menjual,O
,,menjual,VERB,",",",",O
,,",",PUNCT,menjual,membeli,O
,,membeli,VERB,",",",",O
,,",",PUNCT,membeli,menerima,O
,,menerima,VERB,",",",",O
,,",",PUNCT,menerima,menjadi,O
,,menjadi,ADV,",",perantara,O
,,perantara,NOUN,menjadi,dalam,O
,,dalam,ADP,perantara,jual,O
,,jual,NOUN,dalam,beli,O
,,beli,NOUN,jual,",",O
,,",",PUNCT,beli,menukar,O
,,menukar,VERB,",",atau,O
,,atau,CCONJ,menukar,menyerahkan,O
,,menyerahkan,VERB,atau,Narkotika,O
,,Narkotika,PROPN,menyerahkan,Golongan,O
,,Golongan,PROPN,Narkotika,I,O
,,I,NUM,Golongan,jenis,O
,,jenis,NOUN,I,Putaw,O
,,Putaw,PUNCT,jenis,",",O
,,",",PUNCT,Putaw,perbuatan,O
,,perbuatan,NOUN,",",mana,O
,,mana,PRON,perbuatan,terdakwa,O
,,terdakwa,PROPN,mana,lakukan,O
,,lakukan,ADV,terdakwa,dengan,O
,,dengan,ADV,lakukan,cara,O
,,cara,ADV,dengan,sebagai,O
,,sebagai,ADV,cara,berikut,O
,,berikut,ADV,sebagai,:,O
,,:,PUNCT,berikut,2,O
,sentence: 0000021,2,NUM,:,Pada,O
,,Pada,ADP,2,awalnya,O
,,awalnya,ADV,Pada,hari,O
,,hari,NOUN,awalnya,Selasa,O
,,Selasa,PROPN,hari,tanggal,O
,,tanggal,NOUN,Selasa,24,O
,,24,NUM,tanggal,Juli,O
,,Juli,PROPN,24,2012,O
,,2012,NUM,Juli,",",O
,,",",PUNCT,2012,sekira,O
,,sekira,ADV,",",pukul,O
,,pukul,NOUN,sekira,17,O
,,17,NUM,pukul,.,O
,,.,PUNCT,17,30,O
,,30,NUM,.,wib,O
,,wib,PROPN,30,",",O
,,",",PUNCT,wib,terdakwa,O
,,terdakwa,PROPN,",",tidak,O
,,tidak,PART,terdakwa,senghaja,O
,,senghaja,PUNCT,tidak,bertemu,O
,,bertemu,VERB,senghaja,dengan,O
,,dengan,ADV,bertemu,temannya,O
,,temannya,ADV,dengan,bernama,O
,,bernama,ADV,temannya,:,O
,,:,PUNCT,bernama,Sayuti,O
,,Sayuti,PROPN,:,(,B_DEFN
,,(,PUNCT,Sayuti,DPO,O
,,DPO,PROPN,(,),O
,,),PUNCT,DPO,di,O
,,di,ADP,),Jl,O
,,Jl,PROPN,di,.,O
,,.,PUNCT,Jl,Jati,O
,,Jati,PROPN,.,Baru,O
,,Baru,PROPN,Jati,Tanah,O
,,Tanah,PROPN,Baru,Abang,O
,,Abang,PROPN,Tanah,Jakarta,O
,,Jakarta,PROPN,Abang,Pusat,O
,,Pusat,PROPN,Jakarta,kemudian,O
,,kemudian,ADV,Pusat,Sayuti,O
,,Sayuti,PROPN,kemudian,minta,B_DEFN
,,minta,ADV,Sayuti,tolong,O
,,tolong,ADV,minta,pada,O
,,pada,ADP,tolong,terdakwa,O
,,terdakwa,PROPN,pada,",",O
,,",",PUNCT,terdakwa,dan,O
,,dan,CCONJ,",",memberikan,O
,,memberikan,VERB,dan,uang,O
,,uang,NOUN,memberikan,sebesar,O
,,sebesar,ADV,uang,Rp,O
,,Rp,SYM,sebesar,.,O
,,.,PUNCT,Rp,100,O
,,100,NUM,.,.,O
,,.,PUNCT,100,0,O
,,0,NUM,.,(,O
,,(,PUNCT,0,seratus,O
,,seratus,NUM,(,ribu,O
,,ribu,NUM,seratus,rupiah,O
,,rupiah,PROPN,ribu,),O
,,),PUNCT,rupiah,untuk,O
,,untuk,SCONJ,),dibelikan,O
,,dibelikan,ADV,untuk,barang,O
,,barang,NOUN,dibelikan,berupa,O
,,berupa,ADV,barang,Putaw,O
,,Putaw,PUNCT,berupa,sebanyak,O
,,sebanyak,ADV,Putaw,2,O
,,2,NUM,sebanyak,(,O
,,(,PUNCT,2,dua,O
,,dua,NUM,(,),O
,,),PUNCT,dua,paket,O
,,paket,NOUN,),;,O
,,;,PUNCT,paket,Selanjutnya,O
,sentence: 0000022,Selanjutnya,ADV,;,terdakwa,O
,,terdakwa,PROPN,Selanjutnya,bersama,O
,,bersama,ADV,terdakwa,Sayuti,O
,,Sayuti,PROPN,bersama,(,B_DEFN
,,(,PUNCT,Sayuti,DPO,O
,,DPO,PROPN,(,),O
,,),PUNCT,DPO,pergi,O
,,pergi,ADV,),ke,O
,,ke,ADP,pergi,daerah,O
,,daerah,NOUN,ke,Boncos,O
,,Boncos,PUNCT,daerah,Jl,O
,,Jl,PROPN,Boncos,.,O
,,.,PUNCT,Jl,Kiapang,O
,,Kiapang,PUNCT,.,Kel,O
,,Kel,PROPN,Kiapang,.,O
,,.,PUNCT,Kel,Kota,O
,,Kota,PROPN,.,Bambu,O
,,Bambu,PROPN,Kota,",",O
,,",",PUNCT,Bambu,Kec,O
,,Kec,PROPN,",",.,O
,,.,PUNCT,Kec,Palmerah,O
,,Palmerah,PROPN,.,Jakarta,O
,,Jakarta,PROPN,Palmerah,Barat,O
,,Barat,PROPN,Jakarta,sesampainya,O
,,sesampainya,ADV,Barat,didaerah,O
,,didaerah,ADV,sesampainya,Boncos,O
,,Boncos,PUNCT,didaerah,",",O
,,",",PUNCT,Boncos,Sayuti,O
,,Sayuti,PROPN,",",menunggu,B_DEFN
,,menunggu,VERB,Sayuti,didepan,O
,,didepan,ADV,menunggu,gang,O
,,gang,NOUN,didepan,",",O
,,",",PUNCT,gang,sedangkan,O
,,sedangkan,ADV,",",terdakwa,O
,,terdakwa,PROPN,sedangkan,masuk,O
,,masuk,VERB,terdakwa,untuk,O
,,untuk,SCONJ,masuk,membeli,O
,,membeli,VERB,untuk,barang,O
,,barang,NOUN,membeli,berupa,O
,,berupa,ADV,barang,Putaw,O
,,Putaw,PUNCT,berupa,di,O
,,di,ADP,Putaw,Kiapang,O
,,Kiapang,PUNCT,di,kemudian,O
